wave,scope,level,n_stimuli,excluded_stimuli_with_fewer_than_two_raters,human_dispersion_definition,absolute_disagreement_definition,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_draws,bootstrap_invalid_proportion,two_sided_restricted_permutation_p,p_adjusted_bh,n_permutations,exact_permutation,inference_role
首轮专家复核,dimension,cc,178,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,-0.16285807963536356,-0.2958062174970337,-0.02498386633200018,5000,0.0,0.029997000299970003,0.059994000599940006,10000,False,prespecified_secondary_first_review
首轮专家复核,dimension,fa,178,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,-0.21932267730098257,-0.32694529476356626,-0.10418125293828338,5000,0.0,0.0066993300669933005,0.026397360263973605,10000,False,prespecified_secondary_first_review
首轮专家复核,dimension,lc,178,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.17662731471135049,0.06038281787852367,0.29469930452805865,5000,0.0,0.008799120087991202,0.026397360263973605,10000,False,prespecified_secondary_first_review
首轮专家复核,dimension,mq,178,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.27388480540675136,0.15599221558502158,0.3925651329838128,5000,0.0,0.11918808119188082,0.14302569743025698,10000,False,prespecified_secondary_first_review
首轮专家复核,dimension,risk,178,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,-0.08951398072216774,-0.24300393399461154,0.061389659318258745,5000,0.0,0.11738826117388261,0.14302569743025698,10000,False,prespecified_secondary_first_review
首轮专家复核,dimension,tf,178,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.03433329792335574,-0.12395775362750744,0.1988278869532555,5000,0.0,0.6948305169483052,0.6948305169483052,10000,False,prespecified_secondary_first_review
首轮专家复核,overall,all,178,0,root-mean-square of the six dimension-specific participant sample SDs,mean absolute human-consensus minus API disagreement across six dimensions,0.042899500570168295,-0.09321071555076757,0.17784694684437993,5000,0.0,0.47725227477252274,,10000,False,prespecified_secondary_first_review
二次专家复核,dimension,cc,30,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.022254367557376455,-0.2932663739221819,0.37093961045811735,5000,0.0,0.87078857421875,0.94500732421875,32768,True,exploratory_selected_second_review
二次专家复核,dimension,fa,30,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.0371523915461624,-0.2731505016722408,0.3592123683250133,5000,0.0,0.87628173828125,0.94500732421875,32768,True,exploratory_selected_second_review
二次专家复核,dimension,lc,30,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.22494159667505262,-0.1079923874930485,0.5410627981811363,5000,0.0,0.367706298828125,0.8333740234375,32768,True,exploratory_selected_second_review
二次专家复核,dimension,mq,30,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.5755283648498332,0.26824522066300593,0.8202465459562356,5000,0.0,0.01275634765625,0.0765380859375,32768,True,exploratory_selected_second_review
二次专家复核,dimension,risk,30,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,0.3420877258570822,-0.0030985244919562657,0.6115651381978422,5000,0.0,0.41668701171875,0.8333740234375,32768,True,exploratory_selected_second_review
二次专家复核,dimension,tf,30,0,sample SD across retained participant ratings for this dimension,absolute difference between human consensus and equivalent-UID API mean,-0.017130144605116793,-0.31833724851840295,0.2619188103754357,5000,0.0,0.94500732421875,0.94500732421875,32768,True,exploratory_selected_second_review
二次专家复核,overall,all,30,0,root-mean-square of the six dimension-specific participant sample SDs,mean absolute human-consensus minus API disagreement across six dimensions,0.349944382647386,-0.0024734497483880845,0.6373282443441296,5000,0.0,0.400360107421875,,32768,True,exploratory_selected_second_review
