wave,scope,level,model_form,definition,effect,two_sided_permutation_p,p_adjusted_bh,n_permutations,exact,inference_role,practically_material_abs_ge_0_20
首轮专家复核,dimension,cc,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.061513288316385174,0.23717628237176283,0.2846115388461154,10000,False,dimension_model_form_BH_family,False
首轮专家复核,dimension,fa,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.15495615127535017,0.025097490250974904,0.07529247075292472,10000,False,dimension_model_form_BH_family,False
首轮专家复核,dimension,lc,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.1432182567520818,0.0746925307469253,0.11203879612038796,10000,False,dimension_model_form_BH_family,False
首轮专家复核,dimension,mq,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,-0.030366356343746015,0.8584141585841416,0.8584141585841416,10000,False,dimension_model_form_BH_family,False
首轮专家复核,dimension,risk,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.14323676817142256,0.0638936106389361,0.11203879612038796,10000,False,dimension_model_form_BH_family,False
首轮专家复核,dimension,tf,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.30766842778809556,0.0027997200279972004,0.016798320167983202,10000,False,dimension_model_form_BH_family,True
首轮专家复核,six_dimension_mean,all,unadjusted descriptive Spearman of six-dimension item means,Spearman correlation of per-stimulus means of the six fixed z scores; this descriptive composite is not the stacked fixed-effect estimand,0.15993263218929774,0.004399560043995601,,10000,False,unadjusted_descriptive_not_comparable_to_primary_beta,False
首轮专家复核,within_domain_task_item,all,within-domain-by-task stratified item-level rank association,Pearson correlation of ranks centered separately inside each domain-by-task stratum for the six-dimension item means; human ranks are restricted-permuted,0.18781617271921885,0.0164983501649835,,10000,False,stratified_partial_item_model_form,False
二次专家复核,dimension,cc,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.25474287937548545,0.17340087890625,0.260101318359375,32768,True,dimension_model_form_BH_family,True
二次专家复核,dimension,fa,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.4212174098273413,0.168304443359375,0.260101318359375,32768,True,dimension_model_form_BH_family,True
二次专家复核,dimension,lc,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.3428245493233328,0.261962890625,0.31435546875,32768,True,dimension_model_form_BH_family,True
二次专家复核,dimension,mq,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.7620826352275376,0.089385986328125,0.260101318359375,32768,True,dimension_model_form_BH_family,True
二次专家复核,dimension,risk,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.35689205381931277,0.34735107421875,0.34735107421875,32768,True,dimension_model_form_BH_family,True
二次专家复核,dimension,tf,dimension-specific item-level Spearman,Spearman correlation across stimuli within one dimension; p uses that dimension's controls-only FL residuals and the shared joint-stimulus maps,0.32197427311904003,0.12274169921875,0.260101318359375,32768,True,dimension_model_form_BH_family,True
二次专家复核,six_dimension_mean,all,unadjusted descriptive Spearman of six-dimension item means,Spearman correlation of per-stimulus means of the six fixed z scores; this descriptive composite is not the stacked fixed-effect estimand,0.46785317018909905,0.12408447265625,,32768,True,unadjusted_descriptive_not_comparable_to_primary_beta,True
二次专家复核,within_domain_task_item,all,within-domain-by-task stratified item-level rank association,Pearson correlation of ranks centered separately inside each domain-by-task stratum for the six-dimension item means; human ranks are restricted-permuted,0.4666666666666667,0.11846923828125,,32768,True,stratified_partial_item_model_form,True
